PROTEIN_NAME	LOCUS	GENE_CONTIG	PFAM_ACC	PFAM_NAME	PFAM_DESCRIPTION	PFAM_START	PFAM_STOP	LENGTH	PFAM_SCORE	PFAM_EXPECTED
serine/threonine-protein kinase transcriptional regulator pknK	Rv3080c	Mycobacterium tuberculosis H37Rv complete genome.	PF00069.18	Pkinase	Protein kinase domain	3445146	3445913	768	151.8	1.4E-44
serine/threonine-protein kinase transcriptional regulator pknK	Rv3080c	Mycobacterium tuberculosis H37Rv complete genome.	PF07714.10	Pkinase_Tyr	Protein tyrosine kinase	3445149	3445913	765	112.8	1.1E-32
araC/xylS-family virulence-regulating transcriptional regulator virS	Rv3082c	Mycobacterium tuberculosis H37Rv complete genome.	PF00165.15	HTH_AraC	Bacterial regulatory helix-turn-helix proteins, AraC family	3447428	3447562	135	47.95000076293945	3.7999998980797756E-11
araC/xylS-family virulence-regulating transcriptional regulator virS	Rv3082c	Mycobacterium tuberculosis H37Rv complete genome.	PF00165.16	HTH_AraC	Bacterial regulatory helix-turn-helix proteins, AraC family	3447428	3447547	120	35.5	4.5E-9
araC/xylS-family virulence-regulating transcriptional regulator virS	Rv3082c	Mycobacterium tuberculosis H37Rv complete genome.	PF00165.15	HTH_AraC	Bacterial regulatory helix-turn-helix proteins, AraC family	3447428	3447562	135	43.70000076293945	6.199999957878788E-10
monooxygenase	Rv3083	Mycobacterium tuberculosis H37Rv complete genome.	PF07992.7	Pyr_redox_2	Pyridine nucleotide-disulphide oxidoreductase	3448519	3449148	630	31.4	1.0E-7
monooxygenase	Rv3083	Mycobacterium tuberculosis H37Rv complete genome.	PF00743.12	FMO-like	Flavin-binding monooxygenase-like	3448516	3449562	1047	55.6	2.0E-15
acetyl-hydrolase/esterase lipR	Rv3084	Mycobacterium tuberculosis H37Rv complete genome.	PF00975.13	Thioesterase	Thioesterase domain	3450219	3450581	363	31.5	1.5E-7
acetyl-hydrolase/esterase lipR	Rv3084	Mycobacterium tuberculosis H37Rv complete genome.	PF07859.6	Abhydrolase_3	alpha/beta hydrolase fold	3450210	3450815	606	149.8	5.8E-44
acetyl-hydrolase/esterase lipR	Rv3084	Mycobacterium tuberculosis H37Rv complete genome.	PF10340.2	DUF2424	Protein of unknown function (DUF2424)	3450159	3450617	459	41.6	4.6E-11
acetyl-hydrolase/esterase lipR	Rv3084	Mycobacterium tuberculosis H37Rv complete genome.	PF07859.5	Abhydrolase_3	alpha/beta hydrolase fold	3450210	3450815	606	171.22000122070312	0.0
acetyl-hydrolase/esterase lipR	Rv3084	Mycobacterium tuberculosis H37Rv complete genome.	PF07859.5	Abhydrolase_3	alpha/beta hydrolase fold	3450210	3450815	606	171.3000030517578	0.0
short-chain type dehydrogenase/reductase	Rv3085	Mycobacterium tuberculosis H37Rv complete genome.	PF00106.17	adh_short	short chain dehydrogenase	3450938	3451441	504	115.0199966430664	2.500000007927692E-31
short-chain type dehydrogenase/reductase	Rv3085	Mycobacterium tuberculosis H37Rv complete genome.	PF08659.2	KR	KR domain	3450941	3451459	519	-55.099998474121094	3.699999942909926E-4
short-chain type dehydrogenase/reductase	Rv3085	Mycobacterium tuberculosis H37Rv complete genome.	PF00106.17	adh_short	short chain dehydrogenase	3450938	3451441	504	114.0999984741211	4.100000163464692E-31
short-chain type dehydrogenase/reductase	Rv3085	Mycobacterium tuberculosis H37Rv complete genome.	PF00106.18	adh_short	short chain dehydrogenase	3450938	3451441	504	116.2	1.1E-33
short-chain type dehydrogenase/reductase	Rv3085	Mycobacterium tuberculosis H37Rv complete genome.	PF08659.3	KR	KR domain	3450941	3451474	534	53.5	1.7E-14
zinc-type alcohol dehydrogenase adhD	Rv3086	Mycobacterium tuberculosis H37Rv complete genome.	PF00107.19	ADH_zinc_N	Zinc-binding dehydrogenase	3452363	3452761	399	79.6	1.1E-22
zinc-type alcohol dehydrogenase adhD	Rv3086	Mycobacterium tuberculosis H37Rv complete genome.	PF08240.5	ADH_N	Alcohol dehydrogenase GroES-like domain	3451859	3452239	381	102.9	5.9E-30
zinc-type alcohol dehydrogenase adhD	Rv3086	Mycobacterium tuberculosis H37Rv complete genome.	TIGR03989	TIGR03989	Rxyl_3153: oxidoreductase, Rxyl_3153 family	3451784	3452884	1101	546.6	0.0
zinc-type alcohol dehydrogenase adhD	Rv3086	Mycobacterium tuberculosis H37Rv complete genome.	PF00107.18	ADH_zinc_N	Zinc-binding dehydrogenase	3452330	3452761	432	123.54000091552734	6.700000048870332E-34
zinc-type alcohol dehydrogenase adhD	Rv3086	Mycobacterium tuberculosis H37Rv complete genome.	PF08240.4	ADH_N	Alcohol dehydrogenase GroES-like domain	3451859	3452239	381	134.2899932861328	3.900000167067537E-37
zinc-type alcohol dehydrogenase adhD	Rv3086	Mycobacterium tuberculosis H37Rv complete genome.	PF00107.18	ADH_zinc_N	Zinc-binding dehydrogenase	3452330	3452761	432	124.80000305175781	2.50000005935557E-34
zinc-type alcohol dehydrogenase adhD	Rv3086	Mycobacterium tuberculosis H37Rv complete genome.	PF08240.4	ADH_N	Alcohol dehydrogenase GroES-like domain	3451859	3452239	381	134.3000030517578	3.300000037884337E-37
conserved hypothetical protein	Rv3087	Mycobacterium tuberculosis H37Rv complete genome.	PF03007.9	UPF0089	Uncharacterised protein family (UPF0089)	3452934	3453728	795	297.6	6.5E-89
conserved hypothetical protein	Rv3087	Mycobacterium tuberculosis H37Rv complete genome.	TIGR02946	TIGR02946	acyl_WS_DGAT: acyltransferase, WS/DGAT/MGAT	3452934	3454307	1374	510.1	0.0
conserved hypothetical protein	Rv3087	Mycobacterium tuberculosis H37Rv complete genome.	TIGR02946	acyl_WS_DGAT	acyltransferase, WS/DGAT/MGAT	3452934	3454307	1374	725.8699951171875	0.0
conserved hypothetical protein	Rv3087	Mycobacterium tuberculosis H37Rv complete genome.	PF03007.8	UPF0089	Uncharacterised protein family (UPF0089)	3452934	3453728	795	440.8999938964844	0.0
conserved hypothetical protein	Rv3087	Mycobacterium tuberculosis H37Rv complete genome.	PF03007.8	UPF0089	Uncharacterised protein family (UPF0089)	3452934	3453728	795	440.8999938964844	0.0
conserved hypothetical protein	Rv3088	Mycobacterium tuberculosis H37Rv complete genome.	PF06974.6	DUF1298	Protein of unknown function (DUF1298)	3455255	3455719	465	33.6	2.4E-8
conserved hypothetical protein	Rv3088	Mycobacterium tuberculosis H37Rv complete genome.	PF03007.8	UPF0089	Uncharacterised protein family (UPF0089)	3454349	3455158	810	439.79998779296875	0.0
conserved hypothetical protein	Rv3088	Mycobacterium tuberculosis H37Rv complete genome.	TIGR02946	TIGR02946	acyl_WS_DGAT: acyltransferase, WS/DGAT/MGAT	3454349	3455722	1374	451.8	0.0
conserved hypothetical protein	Rv3088	Mycobacterium tuberculosis H37Rv complete genome.	PF03007.9	UPF0089	Uncharacterised protein family (UPF0089)	3454349	3455158	810	281.8	4.5E-84
conserved hypothetical protein	Rv3088	Mycobacterium tuberculosis H37Rv complete genome.	PF03007.8	UPF0089	Uncharacterised protein family (UPF0089)	3454349	3455158	810	439.80999755859375	0.0
conserved hypothetical protein	Rv3088	Mycobacterium tuberculosis H37Rv complete genome.	TIGR02946	acyl_WS_DGAT	acyltransferase, WS/DGAT/MGAT	3454349	3455722	1374	665.0700073242188	0.0
fatty-acid-CoA ligase fadD13	Rv3089	Mycobacterium tuberculosis H37Rv complete genome.	PF00501.21	AMP-binding	AMP-binding enzyme	3455851	3457047	1197	368.3	2.5E-110
fatty-acid-CoA ligase fadD13	Rv3089	Mycobacterium tuberculosis H37Rv complete genome.	TIGR01923	TIGR01923	menE: O-succinylbenzoate-CoA ligase	3455851	3457239	1389	314.8	1.9E-94
fatty-acid-CoA ligase fadD13	Rv3089	Mycobacterium tuberculosis H37Rv complete genome.	PF00501.20	AMP-binding	AMP-binding enzyme	3455851	3457047	1197	429.6300048828125	0.0
fatty-acid-CoA ligase fadD13	Rv3089	Mycobacterium tuberculosis H37Rv complete genome.	PF00501.20	AMP-binding	AMP-binding enzyme	3455851	3457047	1197	429.20001220703125	0.0
hypothetical alanine and valine rich protein	Rv3090	Mycobacterium tuberculosis H37Rv complete genome.	PF01145.18	Band_7	SPFH domain / Band 7 family	3458373	3458951	579	52.0	6.1E-14
hypothetical alanine and valine rich protein	Rv3090	Mycobacterium tuberculosis H37Rv complete genome.	PF01145.17	Band_7	SPFH domain / Band 7 family	3458373	3458945	573	30.969999313354492	4.999999873689376E-6
conserved hypothetical protein	Rv3091	Mycobacterium tuberculosis H37Rv complete genome.	PF01734.15	Patatin	Patatin-like phospholipase	3459656	3460375	720	64.5	9.5E-18
conserved hypothetical protein	Rv3091	Mycobacterium tuberculosis H37Rv complete genome.	PF01734.14	Patatin	Patatin-like phospholipase	3459656	3460375	720	191.6699981689453	0.0
conserved hypothetical protein	Rv3091	Mycobacterium tuberculosis H37Rv complete genome.	PF01734.14	Patatin	Patatin-like phospholipase	3459656	3460375	720	191.39999389648438	0.0
conserved membrane protein	Rv3092c	Mycobacterium tuberculosis H37Rv complete genome.	PF05661.5	DUF808	Protein of unknown function (DUF808)	3460856	3461734	879	229.9	2.2E-68
conserved membrane protein	Rv3092c	Mycobacterium tuberculosis H37Rv complete genome.	PF05661.4	DUF808	Protein of unknown function (DUF808)	3460856	3461734	879	209.25	0.0
conserved membrane protein	Rv3092c	Mycobacterium tuberculosis H37Rv complete genome.	PF05661.4	DUF808	Protein of unknown function (DUF808)	3460847	3461734	888	624.2000122070312	0.0
oxidoreductase	Rv3093c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR03841	TIGR03841	F420_Rv3093c: probable F420-dependent oxidoreductase, Rv3093c family	3461850	3462743	894	429.4	1.5E-129
oxidoreductase	Rv3093c	Mycobacterium tuberculosis H37Rv complete genome.	PF00296.13	Bac_luciferase	Luciferase-like monooxygenase	3461871	3462746	876	135.2	2.0E-39
conserved hypothetical protein	Rv3094c	Mycobacterium tuberculosis H37Rv complete genome.	PF08028.3	Acyl-CoA_dh_2	Acyl-CoA dehydrogenase, C-terminal domain	3462824	3463225	402	148.89999389648438	1.2999845853541328E-41
conserved hypothetical protein	Rv3094c	Mycobacterium tuberculosis H37Rv complete genome.	PF08028.3	Acyl-CoA_dh_2	Acyl-CoA dehydrogenase, C-terminal domain	3462824	3463225	402	149.17999267578125	1.2999845853541328E-41
conserved hypothetical protein	Rv3094c	Mycobacterium tuberculosis H37Rv complete genome.	PF00441.16	Acyl-CoA_dh_1	Acyl-CoA dehydrogenase, C-terminal domain	3462791	3463243	453	-10.949999809265137	0.00369199994020164
conserved hypothetical protein	Rv3094c	Mycobacterium tuberculosis H37Rv complete genome.	PF00441.17	Acyl-CoA_dh_1	Acyl-CoA dehydrogenase, C-terminal domain	3462839	3463249	411	36.9	2.8E-9
conserved hypothetical protein	Rv3094c	Mycobacterium tuberculosis H37Rv complete genome.	PF02771.9	Acyl-CoA_dh_N	Acyl-CoA dehydrogenase, N-terminal domain	3463595	3463879	285	23.6	4.7E-5
conserved hypothetical protein	Rv3094c	Mycobacterium tuberculosis H37Rv complete genome.	PF00441.16	Acyl-CoA_dh_1	Acyl-CoA dehydrogenase, C-terminal domain	3462791	3463243	453	-11.0	0.004100000020116568
conserved hypothetical protein	Rv3094c	Mycobacterium tuberculosis H37Rv complete genome.	PF08028.4	Acyl-CoA_dh_2	Acyl-CoA dehydrogenase, C-terminal domain	3462824	3463225	402	107.0	6.6E-31
transcriptional regulator	Rv3095	Mycobacterium tuberculosis H37Rv complete genome.	PF01638.10	HxlR	HxlR-like helix-turn-helix	3464033	3464302	270	97.3	2.4E-28
transcriptional regulator	Rv3095	Mycobacterium tuberculosis H37Rv complete genome.	PF01638.9	DUF24	HxlR-like helix-turn-helix	3464033	3464302	270	169.6699981689453	0.0
transcriptional regulator	Rv3095	Mycobacterium tuberculosis H37Rv complete genome.	PF01638.9	DUF24	HxlR-like helix-turn-helix	3464033	3464302	270	169.6999969482422	0.0
transcriptional regulator	Rv3095	Mycobacterium tuberculosis H37Rv complete genome.	PF01022.13	HTH_5	Bacterial regulatory protein, arsR family	3464054	3464179	126	22.9	3.9E-5
conserved hypothetical protein	Rv3096	Mycobacterium tuberculosis H37Rv complete genome.	TIGR01409	TAT_signal_seq	Tat (twin-arginine translocation) pathway signal sequence	3464547	3464627	81	-0.8999999761581421	3.6379990577697754
PE-PGRS family protein	Rv3097c	Mycobacterium tuberculosis H37Rv complete genome.	PF00934.13	PE	PE family	3466807	3467088	282	112.8	4.7E-33
PE-PGRS family protein	Rv3097c	Mycobacterium tuberculosis H37Rv complete genome.	PF07859.5	Abhydrolase_3	alpha/beta hydrolase fold	3465841	3466389	549	55.63999938964844	1.8000000361756419E-13
PE-PGRS family protein	Rv3097c	Mycobacterium tuberculosis H37Rv complete genome.	PF00934.12	PE	PE family	3466807	3467088	282	188.64999389648438	0.0
PE-PGRS family protein	Rv3097c	Mycobacterium tuberculosis H37Rv complete genome.	PF07859.6	Abhydrolase_3	alpha/beta hydrolase fold	3465841	3466389	549	77.5	8.1E-22
PE-PGRS family protein	Rv3097c	Mycobacterium tuberculosis H37Rv complete genome.	PF10340.2	DUF2424	Protein of unknown function (DUF2424)	3466030	3466455	426	33.3	1.6E-8
PE-PGRS family protein	Rv3097c	Mycobacterium tuberculosis H37Rv complete genome.	PF07859.5	Abhydrolase_3	alpha/beta hydrolase fold	3465841	3466389	549	57.5	4.300000026186135E-14
PE-PGRS family protein	Rv3097c	Mycobacterium tuberculosis H37Rv complete genome.	PF00934.12	PE	PE family	3466807	3467088	282	188.6999969482422	0.0
conserved hypothetical protein	Rv3099c	Mycobacterium tuberculosis H37Rv complete genome.	PF11716.1	MDMPI_N	Mycothiol maleylpyruvate isomerase N-terminal domain	3468785	3469207	423	103.6	8.6E-30
conserved hypothetical protein	Rv3099c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR03083	TIGR03083	uncharacterized Actinobacterial protein TIGR03083	3468506	3469210	705	169.80999755859375	0.0
conserved hypothetical protein	Rv3099c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR03083	TIGR03083	TIGR03083: uncharacterized Actinobacterial protein TIGR03083	3468506	3469210	705	147.0	1.9E-43
conserved hypothetical protein	Rv3099c	Mycobacterium tuberculosis H37Rv complete genome.	PF07398.4	MDMPI_C	MDMPI C-terminal domain	3468443	3468733	291	39.2	6.0E-10
Ssra-binding protein smpB	Rv3100c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00086	TIGR00086	smpB: SsrA-binding protein	3469325	3469753	429	191.6	1.4E-57
Ssra-binding protein smpB	Rv3100c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00086	smpB	SsrA-binding protein	3469325	3469753	429	301.7099914550781	0.0
Ssra-binding protein smpB	Rv3100c	Mycobacterium tuberculosis H37Rv complete genome.	PF01668.10	SmpB	SmpB protein	3469553	3469756	204	152.5500030517578	1.1995114854620434E-42
Ssra-binding protein smpB	Rv3100c	Mycobacterium tuberculosis H37Rv complete genome.	PF01668.10	SmpB	SmpB protein	3469553	3469756	204	152.60000610351562	1.1000192944949814E-42
Ssra-binding protein smpB	Rv3100c	Mycobacterium tuberculosis H37Rv complete genome.	PF01668.11	SmpB	SmpB protein	3469553	3469756	204	104.4	1.6E-30
cell division protein ftsX	Rv3101c	Mycobacterium tuberculosis H37Rv complete genome.	PF02687.14	FtsX	Predicted permease	3469789	3470313	525	60.3	1.1E-16
cell division protein ftsX	Rv3101c	Mycobacterium tuberculosis H37Rv complete genome.	PF02687.13	FtsX	Predicted permease	3469795	3470166	372	49.099998474121094	1.700000036575222E-11
cell division protein ftsX	Rv3101c	Mycobacterium tuberculosis H37Rv complete genome.	PF02687.13	FtsX	Predicted permease	3469795	3470313	519	76.5	8.199999739777285E-20
cell division ATP-binding protein ftsE	Rv3102c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00960	TIGR00960	3a0501s02: Type II (General) Secretory Pathway (IISP) Family protein	3470722	3471369	648	360.2	8.4E-109
cell division ATP-binding protein ftsE	Rv3102c	Mycobacterium tuberculosis H37Rv complete genome.	PF03193.9	DUF258	Protein of unknown function, DUF258	3471085	3471363	279	23.8	1.5E-5
cell division ATP-binding protein ftsE	Rv3102c	Mycobacterium tuberculosis H37Rv complete genome.	PF00005.20	ABC_tran	ABC transporter	3470869	3471243	375	89.5	1.5E-25
cell division ATP-binding protein ftsE	Rv3102c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR02673	TIGR02673	FtsE: cell division ATP-binding protein FtsE	3470725	3471369	645	291.7	6.5E-88
cell division ATP-binding protein ftsE	Rv3102c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR02673	FtsE	cell division ATP-binding protein FtsE	3470725	3471369	645	413.739990234375	0.0
cell division ATP-binding protein ftsE	Rv3102c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00960	3a0501s02	Type II (General) Secretory Pathway (IISP) Family protein	3470722	3471369	648	557.9400024414062	0.0
cell division ATP-binding protein ftsE	Rv3102c	Mycobacterium tuberculosis H37Rv complete genome.	PF00005.19	ABC_tran	ABC transporter	3470728	3471285	558	218.00999450683594	0.0
cell division ATP-binding protein ftsE	Rv3102c	Mycobacterium tuberculosis H37Rv complete genome.	PF00005.19	ABC_tran	ABC transporter	3470728	3471285	558	217.39999389648438	0.0
conserved membrane protein	Rv3104c	Mycobacterium tuberculosis H37Rv complete genome.	PF00924.10	MS_channel	Mechanosensitive ion channel	3471894	3472520	627	217.83999633789062	0.0
conserved membrane protein	Rv3104c	Mycobacterium tuberculosis H37Rv complete genome.	PF00924.10	MS_channel	Mechanosensitive ion channel	3471894	3472520	627	217.89999389648438	0.0
conserved membrane protein	Rv3104c	Mycobacterium tuberculosis H37Rv complete genome.	PF00924.11	MS_channel	Mechanosensitive ion channel	3471894	3472520	627	144.1	2.7E-42
peptide chain release factor 2 prfB	Rv3105c	Mycobacterium tuberculosis H37Rv complete genome.	PF03462.11	PCRF	PCRF domain	3473296	3473637	342	102.3	9.5E-30
peptide chain release factor 2 prfB	Rv3105c	Mycobacterium tuberculosis H37Rv complete genome.	PF03462.10	PCRF	PCRF domain	3473296	3473625	330	165.3000030517578	0.0
peptide chain release factor 2 prfB	Rv3105c	Mycobacterium tuberculosis H37Rv complete genome.	PF00472.12	RF-1	RF-1 domain	3472870	3473208	339	221.8000030517578	0.0
peptide chain release factor 2 prfB	Rv3105c	Mycobacterium tuberculosis H37Rv complete genome.	PF00472.12	RF-1	RF-1 domain	3472870	3473208	339	221.75999450683594	0.0
peptide chain release factor 2 prfB	Rv3105c	Mycobacterium tuberculosis H37Rv complete genome.	PF03462.10	PCRF	PCRF domain	3473296	3473625	330	165.27999877929688	0.0
peptide chain release factor 2 prfB	Rv3105c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00020	prfB	peptide chain release factor 2	3472786	3473883	1098	832.0499877929688	0.0
peptide chain release factor 2 prfB	Rv3105c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00020	TIGR00020	prfB: peptide chain release factor 2	3472786	3473883	1098	548.5	0.0
peptide chain release factor 2 prfB	Rv3105c	Mycobacterium tuberculosis H37Rv complete genome.	PF00472.13	RF-1	RF-1 domain	3472870	3473208	339	117.7	1.6E-34
NADPH:adrenodoxin oxidoreductase fprA	Rv3106	Mycobacterium tuberculosis H37Rv complete genome.	PF07992.7	Pyr_redox_2	Pyridine nucleotide-disulphide oxidoreductase	3474019	3475041	1023	35.9	4.1E-9
NADPH:adrenodoxin oxidoreductase fprA	Rv3106	Mycobacterium tuberculosis H37Rv complete genome.	PF07992.6	Pyr_redox_2	Pyridine nucleotide-disulphide oxidoreductase	3474019	3475314	1296	-15.350000381469727	1.2000000424450263E-5
alkyldihydroxyacetonephosphate synthase agpS	Rv3107c	Mycobacterium tuberculosis H37Rv complete genome.	PF02913.12	FAD-oxidase_C	FAD linked oxidases, C-terminal domain	3475390	3476157	768	163.2	5.2E-48
alkyldihydroxyacetonephosphate synthase agpS	Rv3107c	Mycobacterium tuberculosis H37Rv complete genome.	PF01565.15	FAD_binding_4	FAD binding domain	3476257	3476682	426	135.36000061035156	1.8000000512379684E-37
alkyldihydroxyacetonephosphate synthase agpS	Rv3107c	Mycobacterium tuberculosis H37Rv complete genome.	PF02913.11	FAD-oxidase_C	FAD linked oxidases, C-terminal domain	3475393	3476157	765	218.72999572753906	0.0
alkyldihydroxyacetonephosphate synthase agpS	Rv3107c	Mycobacterium tuberculosis H37Rv complete genome.	PF02913.11	FAD-oxidase_C	FAD linked oxidases, C-terminal domain	3475390	3476157	768	209.39999389648438	0.0
alkyldihydroxyacetonephosphate synthase agpS	Rv3107c	Mycobacterium tuberculosis H37Rv complete genome.	PF01565.15	FAD_binding_4	FAD binding domain	3476257	3476682	426	134.5	2.8999999517622036E-37
alkyldihydroxyacetonephosphate synthase agpS	Rv3107c	Mycobacterium tuberculosis H37Rv complete genome.	PF01565.16	FAD_binding_4	FAD binding domain	3476266	3476682	417	113.2	4.7E-33
molybdenum cofactor biosynthesis protein A moaA1	Rv3109	Mycobacterium tuberculosis H37Rv complete genome.	PF04055.13	Radical_SAM	Radical SAM superfamily	3477739	3478239	501	138.6999969482422	1.500000042698307E-38
molybdenum cofactor biosynthesis protein A moaA1	Rv3109	Mycobacterium tuberculosis H37Rv complete genome.	PF06463.5	Mob_synth_C	Molybdenum Cofactor Synthesis C	3478252	3478635	384	169.60000610351562	0.0
molybdenum cofactor biosynthesis protein A moaA1	Rv3109	Mycobacterium tuberculosis H37Rv complete genome.	PF06463.5	Mob_synth_C	Molybdenum Cofactor Synthesis C	3478252	3478635	384	169.63999938964844	0.0
molybdenum cofactor biosynthesis protein A moaA1	Rv3109	Mycobacterium tuberculosis H37Rv complete genome.	PF04055.13	Radical_SAM	Radical SAM superfamily	3477739	3478239	501	140.10000610351562	6.900000644827721E-39
molybdenum cofactor biosynthesis protein A moaA1	Rv3109	Mycobacterium tuberculosis H37Rv complete genome.	PF04055.14	Radical_SAM	Radical SAM superfamily	3477739	3478239	501	97.6	6.7E-28
molybdenum cofactor biosynthesis protein A moaA1	Rv3109	Mycobacterium tuberculosis H37Rv complete genome.	PF06463.6	Mob_synth_C	Molybdenum Cofactor Synthesis C	3478252	3478635	384	113.4	4.2E-33
molybdenum cofactor biosynthesis protein A moaA1	Rv3109	Mycobacterium tuberculosis H37Rv complete genome.	TIGR02666	TIGR02666	moaA: molybdenum cofactor biosynthesis protein A	3477700	3478686	987	339.5	3.9E-102
molybdenum cofactor biosynthesis protein A moaA1	Rv3109	Mycobacterium tuberculosis H37Rv complete genome.	TIGR02666	moaA	molybdenum cofactor biosynthesis protein A	3477700	3478725	1026	415.1099853515625	0.0
pterin-4-alpha-carbinolamine dehydratase moaB1	Rv3110	Mycobacterium tuberculosis H37Rv complete genome.	PF01329.12	Pterin_4a	Pterin 4 alpha carbinolamine dehydratase	3478857	3479144	288	86.7	5.1E-25
pterin-4-alpha-carbinolamine dehydratase moaB1	Rv3110	Mycobacterium tuberculosis H37Rv complete genome.	PF01329.11	Pterin_4a	Pterin 4 alpha carbinolamine dehydratase	3478854	3479144	291	201.02000427246094	0.0
pterin-4-alpha-carbinolamine dehydratase moaB1	Rv3110	Mycobacterium tuberculosis H37Rv complete genome.	PF01329.11	Pterin_4a	Pterin 4 alpha carbinolamine dehydratase	3478854	3479144	291	200.60000610351562	0.0
molybdenum cofactor biosynthesis protein C moaC1	Rv3111	Mycobacterium tuberculosis H37Rv complete genome.	PF01967.14	MoaC	MoaC family	3479225	3479629	405	187.2	7.3E-56
molybdenum cofactor biosynthesis protein C moaC1	Rv3111	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00581	moaC	molybdenum cofactor biosynthesis protein C	3479192	3479635	444	244.7899932861328	0.0
molybdenum cofactor biosynthesis protein C moaC1	Rv3111	Mycobacterium tuberculosis H37Rv complete genome.	PF01967.13	MoaC	MoaC family	3479225	3479629	405	296.94000244140625	0.0
molybdenum cofactor biosynthesis protein C moaC1	Rv3111	Mycobacterium tuberculosis H37Rv complete genome.	PF01967.13	MoaC	MoaC family	3479225	3479629	405	296.8999938964844	0.0
molybdenum cofactor biosynthesis protein C moaC1	Rv3111	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00581	TIGR00581	moaC: molybdenum cofactor biosynthesis protein C	3479192	3479635	444	234.9	5.7E-71
molybdenum cofactor biosynthesis protein D moaD1	Rv3112	Mycobacterium tuberculosis H37Rv complete genome.	PF02597.12	ThiS	ThiS family	3479715	3479948	234	72.12999725341797	2.00000009162741E-18
molybdenum cofactor biosynthesis protein D moaD1	Rv3112	Mycobacterium tuberculosis H37Rv complete genome.	PF02597.13	ThiS	ThiS family	3479715	3479948	234	66.2	2.0E-18
molybdenum cofactor biosynthesis protein D moaD1	Rv3112	Mycobacterium tuberculosis H37Rv complete genome.	TIGR01682	TIGR01682	moaD: molybdopterin converting factor, subunit 1	3479709	3479948	240	71.3	1.9E-20
molybdenum cofactor biosynthesis protein D moaD1	Rv3112	Mycobacterium tuberculosis H37Rv complete genome.	TIGR01682	moaD	molybdopterin converting factor, subunit 1	3479709	3479948	240	90.02999877929688	2.9000000073664894E-24
molybdenum cofactor biosynthesis protein D moaD1	Rv3112	Mycobacterium tuberculosis H37Rv complete genome.	PF02597.12	ThiS	ThiS family	3479715	3479948	234	72.0	1.89999995262919E-18
phosphatase	Rv3113	Mycobacterium tuberculosis H37Rv complete genome.	PF00702.18	Hydrolase	haloacid dehalogenase-like hydrolase	3480095	3480640	546	60.56999969482422	5.9999998100067255E-15
phosphatase	Rv3113	Mycobacterium tuberculosis H37Rv complete genome.	PF00702.18	Hydrolase	haloacid dehalogenase-like hydrolase	3480095	3480640	546	61.20000076293945	3.399999991157655E-15
phosphatase	Rv3113	Mycobacterium tuberculosis H37Rv complete genome.	TIGR01549	HAD-SF-IA-v1	HAD-superfamily hydrolase, subfamily IA, variant 1	3480095	3480613	519	40.4900016784668	2.2999999682582484E-9
phosphatase	Rv3113	Mycobacterium tuberculosis H37Rv complete genome.	TIGR01549	TIGR01549	HAD-SF-IA-v1: HAD hydrolase, family IA, variant 1	3480263	3480613	351	52.2	1.8E-14
phosphatase	Rv3113	Mycobacterium tuberculosis H37Rv complete genome.	PF00702.19	Hydrolase	haloacid dehalogenase-like hydrolase	3480095	3480613	519	34.4	1.8E-8
conserved hypothetical protein	Rv3114	Mycobacterium tuberculosis H37Rv complete genome.	PF00383.14	dCMP_cyt_deam_1	Cytidine and deoxycytidylate deaminase zinc-binding region	3480810	3481100	291	97.02999877929688	6.400000174369287E-26
conserved hypothetical protein	Rv3114	Mycobacterium tuberculosis H37Rv complete genome.	PF00383.15	dCMP_cyt_deam_1	Cytidine and deoxycytidylate deaminase zinc-binding region	3480810	3481100	291	52.9	1.7E-14
conserved hypothetical protein	Rv3114	Mycobacterium tuberculosis H37Rv complete genome.	PF00383.14	dCMP_cyt_deam_1	Cytidine and deoxycytidylate deaminase zinc-binding region	3480810	3481100	291	97.5	3.999999954906409E-26
transposase	Rv3115	Mycobacterium tuberculosis H37Rv complete genome.	PF10551.2	MULE	MULE transposase domain	3481964	3482239	276	37.1	2.0E-9
transposase	Rv3115	Mycobacterium tuberculosis H37Rv complete genome.	PF10551.1	MULE	MULE transposase domain	3481937	3482239	303	79.66999816894531	1.0999999650920748E-20
transposase	Rv3115	Mycobacterium tuberculosis H37Rv complete genome.	PF00872.11	Transposase_mut	Transposase, Mutator family	3481451	3482590	1140	474.0	0.0
transposase	Rv3115	Mycobacterium tuberculosis H37Rv complete genome.	PF00872.10	Transposase_mut	Transposase, Mutator family	3481451	3482590	1140	726.989990234375	0.0
